"id","number","identifier","name","alias","party","votes","state_name","state_uf","state_votes"
392,2210,220001643595,"JOÃO CHRISÓSTOMO DE MOURA","CORONEL CHRISÓSTOMO","PL",24406,"RONDÔNIA","RO",869148
404,2200,240001610965,"CAROLINE RODRIGUES DE TONI","CAROL DE TONI","PL",227632,"SANTA CATARINA","SC",3969848
412,1560,240001602679,"VALDIR VITAL COBALCHINI","COBALCHINI","MDB",98124,"SANTA CATARINA","SC",3969848
424,4477,260001646377,"RODRIGO SANTANA VALADARES","RODRIGO VALADARES","UNIÃO",49696,"SERGIPE","SE",1125093
429,2210,250001611365,"CARLA ZAMBELLI SALGADO DE OLIVEIRA","CARLA ZAMBELLI","PL",946244,"SÃO PAULO","SP",23286943
442,1010,250001611863,"MARCOS ANTONIO PEREIRA","MARCOS PEREIRA","REPUBLICANOS",231626,"SÃO PAULO","SP",23286943
450,2299,250001611336,"MARCIO LUIZ ALVINO DE SOUZA","MARCIO ALVINO","PL",187314,"SÃO PAULO","SP",23286943
461,1355,250001610678,"LUIZ MARINHO","LUIZ MARINHO","PT",156202,"SÃO PAULO","SP",23286943
472,1333,250001610673,"JULIANA CARDOSO","JULIANA CARDOSO","PT",125517,"SÃO PAULO","SP",23286943
481,1977,250001610316,"RODRIGO GAMBALE VIEIRA","RODRIGO GAMBALE","PODE",108209,"SÃO PAULO","SP",23286943
494,2211,250001611362,"ANTONIO CARLOS RODRIGUES","ANTONIO CARLOS RODRIGUES","PL",73054,"SÃO PAULO","SP",23286943
501,4444,270001643519,"CARLOS HENRIQUE AMORIM","CARLOS GAGUIM","UNIÃO",52203,"TOCANTINS","TO",830140
70,7000,50001602958,"MANOEL ISIDÓRIO DE SANTANA JÚNIOR","PASTOR SARGENTO ISIDÓRIO","AVANTE",77164,"BAHIA","BA",7958431
79,1313,60001619128,"LUIZIANNE DE OLIVEIRA LINS","LUIZIANNE LINS","PT",182232,"CEARÁ","CE",5108239
89,5533,60001601188,"LUIZ GASTÃO BITTENCOURT DA SILVA","LUIZ GASTÃO","PSD",96537,"CEARÁ","CE",5108239
101,2225,70001615924,"JOÃO ALBERTO FRAGA SILVA","FRAGA","PL",28825,"DISTRITO FEDERAL","DF",1607519
113,4444,90001614749,"SILVYE ALVES DA SILVA","SILVYE ALVES","UNIÃO",254653,"GOIÁS","GO",3440515
126,2255,90001652507,"DANIEL VIEIRA RAMOS","DANIEL AGROBOM","PL",70529,"GOIÁS","GO",3440515
134,1111,100001608075,"ANDRÉ LUIZ CARVALHO RIBEIRO","ANDRÉ FUFUCA","PP",135078,"MARANHÃO","MA",3706498
146,2244,100001603099,"GILDENEMIR DE LIMA SOUSA","PASTOR  GIL","PL",69530,"MARANHÃO","MA",3706498
152,1555,110001623300,"EMANUEL PINHEIRO DA SILVA PRIMO TEIXEIRA","EMANUELZINHO","MDB",74720,"MATO GROSSO","MT",1730277
162,1122,120001645933,"LUIZ ALBERTO OVANDO","DR. LUIZ OVANDO","PP",45491,"MATO GROSSO DO SUL","MS",1356862
172,5505,130001604325,"MISAEL ARTUR FERREIRA VARELLA","MISAEL VARELLA","PSD",149398,"MINAS GERAIS","MG",11181098
180,4450,130001607620,"RODRIGO BATISTA DE CASTRO","RODRIGO DE CASTRO","UNIÃO",122571,"MINAS GERAIS","MG",11181098
190,1111,130001615433,"DIMAS FABIANO TOLEDO JUNIOR","DIMAS FABIANO","PP",96395,"MINAS GERAIS","MG",11181098
197,4500,130001613348,"AÉCIO NEVES DA CUNHA","AÉCIO NEVES","PSDB",85341,"MINAS GERAIS","MG",11181098
210,1919,130001634141,"NELI PEREIRA DE AQUINO","NELY AQUINO","PODE",66866,"MINAS GERAIS","MG",11181098
219,2201,160001622028,"FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO","FILIPE BARROS","PL",249507,"PARANÁ","PR",6038588
227,1310,160001614527,"JOSE CARLOS BECKER DE OLIVEIRA E SILVA","ZECA DIRCEU","PT",123033,"PARANÁ","PR",6038588
236,5512,160001622301,"PAULO HENRIQUE COLETTI FERNANDES","PAULO LITRO","PSD",82707,"PARANÁ","PR",6038588
248,1111,150001612065,"AGUINALDO VELLOSO BORGES RIBEIRO","AGUINALDO RIBEIRO","PP",135001,"PARAÍBA","PB",2190544
255,1010,150001619548,"JOSÉ WILSON SANTIAGO","WILSON SANTIAGO","REPUBLICANOS",84407,"PARAÍBA","PB",2190544
267,1511,140001621342,"ANTONIO LEOCADIO DOS SANTOS","ANTONIO DOIDO","MDB",126535,"PARÁ","PA",4521516
278,4040,170001619899,"PEDRO HENRIQUE DE ANDRADE LIMA CARNEIRO CAMPOS","PEDRO CAMPOS","PSB",172526,"PERNAMBUCO","PE",4969863
289,2200,170001609087,"FRANCISCO EURICO DA SILVA","PASTOR EURICO","PL",100811,"PERNAMBUCO","PE",4969863
303,5510,180001602552,"JOSÉ DIAS DE CASTRO NETO","CASTRO NETO","PSD",127753,"PIAUÍ","PI",1957483
313,5077,190001600487,"TALÍRIA PETRONE SOARES","TALIRIA PETRONE","PSOL",198548,"RIO DE JANEIRO","RJ",8571572
326,1000,190001644820,"MARCELO BEZERRA CRIVELLA","MARCELO CRIVELLA","REPUBLICANOS",110450,"RIO DE JANEIRO","RJ",8571572
337,4477,190001619524,"DANIELLE DYTZ DA CUNHA","DANI CUNHA","UNIÃO",75810,"RIO DE JANEIRO","RJ",8571572
344,1011,190001644796,"JORGE BRAZ DE OLIVEIRA","JORGE BRAZ","REPUBLICANOS",59201,"RIO DE JANEIRO","RJ",8571572
354,1433,190001603087,"CARLOS ROBERTO RODRIGUES","BEBETO","PTB",41075,"RIO DE JANEIRO","RJ",8571572
366,1500,210001647853,"ALCEU MOREIRA DA SILVA","ALCEU MOREIRA","MDB",125647,"RIO GRANDE DO SUL","RS",6149822
373,1010,210001601602,"ANTONIO CARLOS GOMES DA SILVA","CARLOS GOMES","REPUBLICANOS",102363,"RIO GRANDE DO SUL","RS",6149822
385,4444,210001601877,"LUIZ CARLOS GHIORZZI BUSATO","BUSATO","UNIÃO",57610,"RIO GRANDE DO SUL","RS",6149822
394,4412,220001600709,"CRISTIANE LOPES DA LUZ BENARROSH","CRISTIANE LOPES","UNIÃO",22806,"RONDÔNIA","RO",869148
402,5555,230001600149,"JOSÉ HAROLDO FIGUEIREDO CAMPOS","ZÉ HAROLDO CATHEDRAL","PSD",10361,"RORAIMA","RR",291505
413,3050,240001597412,"GILSON MARQUES VIEIRA","GILSON MARQUES","NOVO",87894,"SANTA CATARINA","SC",3969848
423,1077,260001618176,"LUIZ AUGUSTO CARVALHO RIBEIRO FILHO","GUSTINHO RIBEIRO","REPUBLICANOS",71831,"SERGIPE","SE",1125093
431,2250,250001611315,"RICARDO DE AQUINO SALLES","RICARDO SALLES","PL",640918,"SÃO PAULO","SP",23286943
441,1580,250001611254,"FÁBIO EDUARDO DE OLIVEIRA TERUEL","FABIO TERUEL","MDB",235165,"SÃO PAULO","SP",23286943
452,1919,250001610258,"RENATA HELLMEISTER DE ABREU MELO","RENATA ABREU","PODE",180247,"SÃO PAULO","SP",23286943
459,5500,250001604939,"MARCO AURELIO BERTAIOLLI","MARCO BERTAIOLLI","PSD",157552,"SÃO PAULO","SP",23286943
471,1100,250001611990,"MANOEL MAURICIO SILVA NEVES","MAURICIO NEVES","PP",129731,"SÃO PAULO","SP",23286943
480,3030,250001597671,"ADRIANA MIGUEL VENTURA","ADRIANA VENTURA","NOVO",109474,"SÃO PAULO","SP",23286943
490,4411,250001602056,"DAVID BEZERRA RIBEIRO SOARES","DAVID SOARES","UNIÃO",93831,"SÃO PAULO","SP",23286943
504,2200,270001643551,"ELI DIAS BORGES","ELI BORGES","PL",35171,"TOCANTINS","TO",830140
